target,sample_type,timepoints,model,search,scale,apply_pls,n_components,is_baseline,target_group,r2,r2_ci95_low,r2_ci95_high,rmse,rmse_ci95_low,rmse_ci95_high,mae,mae_ci95_low,mae_ci95_high,mape,pearson_r,pearson_p,n_test,spectral_preproc
vo2max_absolute,CAPILAR,None,Dummy (mean),none,True,False,,True,cardiorespiratory,-0.1844788840458016,-0.5574636677769097,-0.007156450666953598,521.2100049095867,387.32812273448405,633.2603485921283,401.8796061884668,295.96795534458505,511.5457208157525,10.482725572299072,,,36,
vo2max_absolute,CAPILAR,None,Ridge,none,True,False,,True,cardiorespiratory,-0.1953656920397724,-0.7241960884445189,0.10773827553453122,523.599804522828,384.7139515351332,640.8718678770588,399.67411585942114,297.28674263244125,503.84258182196555,10.382290010174412,0.19629434435700743,0.2512137369010394,36,
vo2max_absolute,CAPILAR,None,PLS (3 comp),none,True,False,,True,cardiorespiratory,-0.12189506918008663,-0.7394137288204042,0.22428446068038116,507.25367465354253,381.40397990516834,625.6956076458712,396.2976955145238,306.05569766313545,499.6339747295379,10.294023057957752,0.3192026737171626,0.05774844486584568,36,
vo2max_absolute,CAPILAR,None,Random Forest,grid,True,True,10.0,False,cardiorespiratory,-0.37637202556174243,-1.1172405657620417,0.015368237362708176,561.8456215389165,446.6130433334831,680.0240546440201,463.7280694444444,370.1775291666666,558.455767361111,12.23603336020763,0.23107212152519951,0.1751193042368974,36,none
vo2max_absolute,CAPILAR,None,Random Forest,grid,True,False,,False,cardiorespiratory,-0.16553432085785702,-0.7065232845126888,0.17296811301503592,517.0250859038955,394.6399742186452,631.7248771974301,399.97586111111116,302.24327291666674,501.11411666666663,10.45896035105373,0.3204123158437914,0.05675435706535957,36,none
vo2max_absolute,CAPILAR,None,MLP Regressor,grid,True,True,10.0,False,cardiorespiratory,-0.29342307986287697,-0.921531925270755,0.11244747359620563,544.6523544022659,386.5569002750345,680.7871249303134,406.6184754947344,298.6743353700165,523.2516328871708,10.532722869154783,0.20280943588030534,0.2355083379200056,36,none
vo2max_absolute,CAPILAR,None,MLP Regressor,grid,True,False,,False,cardiorespiratory,-0.3783158203549417,-1.1715638360868346,0.023251229904931184,562.2422175386996,425.90749237443515,685.0126811046653,436.11288346219493,332.1648013845419,540.7365918174987,11.3344346254105,0.23186271456918348,0.1736064285137558,36,none
vo2max_absolute,CAPILAR,None,Decision Tree,grid,True,True,10.0,False,cardiorespiratory,-0.4154453939170688,-1.4478094122080691,0.03657899592521742,569.7648352658414,464.4337980943504,665.328533278868,473.80628306878305,375.5947982804233,576.5052083333333,12.72185916844043,0.2693623819613117,0.11213746788474462,36,none
vo2max_absolute,CAPILAR,None,Decision Tree,grid,True,False,,False,cardiorespiratory,-0.7428278552331822,-2.4187982066001474,-0.022317789049350858,632.2317887628099,515.3128307469517,741.8352457522014,515.7638888888889,401.32465277777777,627.521875,13.874562070947691,0.3472743886802219,0.037968905672473276,36,none
vo2max_absolute,CAPILAR,None,XGBoost,grid,True,True,10.0,False,cardiorespiratory,-0.21217569205717224,-0.6992958517454534,0.07925362949636743,527.2685498405672,387.6941759984816,649.0357127507576,412.1381429036458,306.23765801323793,510.47944776746954,10.707337929364977,0.2073752240396085,0.22490607547038913,36,none
vo2max_absolute,CAPILAR,None,XGBoost,grid,True,False,,False,cardiorespiratory,-0.15354121423485823,-0.6634237316201271,0.09737604497180069,514.3581671595776,390.06130365453276,616.7501775135455,402.5584309895833,304.92383660210504,507.4688218858507,10.518989807256968,0.2501261132919953,0.14121134437205946,36,none
vo2max_absolute,CAPILAR,[1],Dummy (mean),none,True,False,,True,cardiorespiratory,-0.001730640292297858,-0.2531588744258492,-2.7837008838061052e-05,439.2407398302281,322.1661605397009,548.3835688530521,356.158623984711,262.4006450071668,459.7887601528904,10.113366120506557,,,23,
vo2max_absolute,CAPILAR,[1],Ridge,none,True,False,,True,cardiorespiratory,0.16106116424127526,-0.11493304347144585,0.25824551554162023,401.96874408882917,294.25143397179306,493.92595688845415,323.1050858200724,226.18444503379587,422.32709725532203,9.147121473599306,0.47746890964039534,0.02122118101990295,23,
vo2max_absolute,CAPILAR,[1],PLS (3 comp),none,True,False,,True,cardiorespiratory,0.16949367130011406,-0.4217610284744289,0.44212897066046,399.94346836611635,315.5567238914708,482.925247217614,331.5187709060876,252.20249009167387,429.1955432809611,9.44435875068378,0.46021345351798615,0.027125877364033844,23,
vo2max_absolute,CAPILAR,[1],Random Forest,grid,True,True,10.0,False,cardiorespiratory,-0.04018152689990773,-0.6618448768376273,0.2771530627568434,447.5913694201961,344.02660110480315,544.7409149374289,378.47567945181595,289.0178416199232,477.0143722784684,10.674044258055,0.23242911740906852,0.2858675578845239,23,none
vo2max_absolute,CAPILAR,[1],Random Forest,grid,True,False,,False,cardiorespiratory,0.07606723257769132,-0.5540321654399615,0.3654694193174789,421.8395745149589,340.4897800634694,503.30529519978853,359.3773110459016,277.8262376025916,453.0777848875413,10.201537665706315,0.37568049476626614,0.07729637626981355,23,none
