wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
2913.93278918323,2700.0,0.283548,0.337432,0.45,75,80,False,SERUM
2912.004309508059,2694.0,0.274014,0.327616,0.449,75,80,False,SERUM
2910.075829832888,2691.0,0.26933,0.32252,0.4485,75,80,False,SERUM
2908.147350157717,2691.0,0.26933,0.32252,0.4485,75,80,False,SERUM
2906.218870482546,2688.0,0.264701,0.318977,0.448,75,80,False,SERUM
2904.290390807375,2682.0,0.255608,0.309485,0.447,75,80,False,SERUM
2902.361911132204,2668.0,0.235243,0.288022,0.4447,75,80,False,SERUM
2900.433431457033,2667.0,0.233834,0.287217,0.4445,75,80,False,SERUM
2898.504951781862,2668.0,0.235243,0.288022,0.4447,75,80,False,SERUM
2896.576472106692,2652.0,0.213408,0.267723,0.442,75,80,False,SERUM
2894.647992431521,2653.0,0.214728,0.268938,0.4422,75,80,False,SERUM
2892.71951275635,2650.0,0.210785,0.264868,0.4417,75,80,False,SERUM
2890.791033081179,2641.0,0.199269,0.252474,0.4402,75,80,False,SERUM
2888.862553406008,2645.0,0.204329,0.257603,0.4408,75,80,False,SERUM
2886.934073730837,2645.0,0.204329,0.257603,0.4408,75,80,False,SERUM
2885.005594055666,2638.0,0.195535,0.250232,0.4397,75,80,False,SERUM
2883.077114380495,2640.0,0.198019,0.251306,0.44,75,80,False,SERUM
2881.148634705325,2639.0,0.196774,0.250559,0.4398,75,80,False,SERUM
2879.220155030153,2642.0,0.200526,0.253645,0.4403,75,80,False,SERUM
2877.291675354983,2660.0,0.224135,0.277986,0.4433,75,80,False,SERUM
2875.363195679812,2684.0,0.258615,0.312629,0.4473,75,80,False,SERUM
2873.434716004641,2714.0,0.306661,0.359339,0.4523,75,80,False,SERUM
2871.50623632947,2751.0,0.373588,0.429205,0.4585,75,80,False,SERUM
2869.577756654299,2783.0,0.438225,0.496741,0.4638,75,80,False,SERUM
2867.649276979128,2798.0,0.470611,0.527194,0.4663,75,80,False,SERUM
2865.720797303957,2807.0,0.490659,0.547246,0.4678,75,80,False,SERUM
2863.792317628786,2816.0,0.511158,0.567623,0.4693,75,80,False,SERUM
