wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
3050.854846120364,3194.0,0.186339,0.320637,0.5627,66,86,False,URINE
3048.926366445193,3215.0,0.161648,0.291271,0.5664,66,86,False,URINE
3046.997886770022,3108.0,0.316439,0.467619,0.5476,66,86,False,URINE
3045.069407094851,3037.0,0.460589,0.605663,0.5351,66,86,False,URINE
3043.14092741968,2967.0,0.632886,0.72384,0.5227,66,86,False,URINE
3041.212447744509,2957.0,0.659578,0.746544,0.521,66,86,False,URINE
3039.283968069338,2981.0,0.596313,0.693429,0.5252,66,86,False,URINE
3037.355488394167,2971.0,0.622339,0.716931,0.5234,66,86,False,URINE
3035.427008718997,2970.0,0.624969,0.716931,0.5233,66,86,False,URINE
3033.498529043825,2981.0,0.596313,0.693429,0.5252,66,86,False,URINE
3031.570049368655,2973.0,0.617095,0.712176,0.5238,66,86,False,URINE
3029.641569693484,2970.0,0.624969,0.716931,0.5233,66,86,False,URINE
3027.713090018313,2985.0,0.586043,0.687767,0.5259,66,86,False,URINE
3025.784610343142,2997.0,0.555736,0.672872,0.528,66,86,False,URINE
3023.856130667971,2993.0,0.565753,0.680685,0.5273,66,86,False,URINE
3021.9276509928,3005.0,0.535966,0.659385,0.5294,66,86,False,URINE
3019.999171317629,3016.0,0.509373,0.640067,0.5314,66,86,False,URINE
3018.070691642458,3043.0,0.447146,0.597078,0.5361,66,86,False,URINE
3016.142211967287,3058.0,0.414534,0.56253,0.5388,66,86,False,URINE
3014.213732292117,3063.0,0.403984,0.555997,0.5396,66,86,False,URINE
3012.285252616945,3068.0,0.393597,0.544761,0.5405,66,86,False,URINE
3010.356772941775,3081.0,0.367356,0.522644,0.5428,66,86,False,URINE
3008.428293266604,3080.0,0.369335,0.52351,0.5426,66,86,False,URINE
3006.499813591433,3085.0,0.359506,0.517256,0.5435,66,86,False,URINE
3004.571333916262,3078.0,0.373313,0.527192,0.5423,66,86,False,URINE
3002.642854241091,3075.0,0.379329,0.533715,0.5418,66,86,False,URINE
3000.71437456592,3075.0,0.379329,0.533715,0.5418,66,86,False,URINE
2998.785894890749,3071.0,0.387443,0.541033,0.5411,66,86,False,URINE
2996.857415215578,3070.0,0.389487,0.541033,0.5409,66,86,False,URINE
2994.928935540408,3070.0,0.389487,0.541033,0.5409,66,86,False,URINE
2993.000455865237,3059.0,0.412412,0.560645,0.5389,66,86,False,URINE
2991.071976190066,3047.0,0.43831,0.589558,0.5368,66,86,False,URINE
2989.143496514895,3031.0,0.474255,0.614119,0.534,66,86,False,URINE
2987.215016839724,3024.0,0.490475,0.629787,0.5328,66,86,False,URINE
2985.286537164553,3016.0,0.509373,0.640067,0.5314,66,86,False,URINE
2983.358057489382,3010.0,0.523792,0.652817,0.5303,66,86,False,URINE
2981.429577814211,3004.0,0.538418,0.660275,0.5292,66,86,False,URINE
2979.501098139041,3001.0,0.545807,0.667194,0.5287,66,86,False,URINE
2977.572618463869,3011.0,0.521374,0.650866,0.5305,66,86,False,URINE
2975.644138788698,3020.0,0.499877,0.63634,0.5321,66,86,False,URINE
2973.715659113528,3040.0,0.45384,0.599885,0.5356,66,86,False,URINE
2971.787179438357,3037.0,0.460589,0.605663,0.5351,66,86,False,URINE
2969.858699763186,3039.0,0.456083,0.601809,0.5354,66,86,False,URINE
2967.930220088015,3032.0,0.471962,0.614119,0.5342,66,86,False,URINE
2966.001740412844,3032.0,0.471962,0.614119,0.5342,66,86,False,URINE
2964.073260737673,3029.0,0.478859,0.617987,0.5337,66,86,False,URINE
2962.144781062502,3018.0,0.504613,0.638285,0.5317,66,86,False,URINE
2960.216301387331,3008.0,0.528644,0.656722,0.53,66,86,False,URINE
2958.287821712161,2986.0,0.583488,0.685823,0.5261,66,86,False,URINE
2956.359342036989,2974.0,0.614479,0.71023,0.524,66,86,False,URINE
2954.430862361819,2947.0,0.68671,0.765908,0.5192,66,86,False,URINE
2952.502382686648,2929.0,0.73656,0.805052,0.516,66,86,False,URINE
2950.573903011477,2904.0,0.807633,0.86419,0.5116,66,86,False,URINE
2948.645423336306,2884.0,0.86569,0.90601,0.5081,66,86,False,URINE
2946.716943661135,2877.0,0.8862,0.919914,0.5069,66,86,False,URINE
2944.788463985964,2849.0,0.968865,0.983019,0.5019,66,86,False,URINE
2942.859984310793,2824.0,0.959976,0.976594,0.4975,66,86,False,URINE
2940.931504635622,2813.0,0.927435,0.948541,0.4956,66,86,False,URINE
2939.003024960452,2800.0,0.889136,0.920461,0.4933,66,86,False,URINE
2937.074545285281,2794.0,0.871541,0.909641,0.4922,66,86,False,URINE
2935.146065610109,2779.0,0.82785,0.879662,0.4896,66,86,False,URINE
2933.217585934939,2769.0,0.799007,0.858567,0.4878,66,86,False,URINE
2931.289106259768,2753.0,0.753438,0.821151,0.485,66,86,False,URINE
2929.360626584597,2744.0,0.728167,0.79702,0.4834,66,86,False,URINE
2927.432146909426,2725.0,0.675806,0.757062,0.4801,66,86,False,URINE
2925.503667234255,2716.0,0.651523,0.739619,0.4785,66,86,False,URINE
2923.575187559084,2698.0,0.604069,0.700316,0.4753,66,86,False,URINE
2921.646707883913,2687.0,0.575856,0.684046,0.4734,66,86,False,URINE
2919.718228208742,2681.0,0.560734,0.676778,0.4723,66,86,False,URINE
2917.789748533572,2676.0,0.548281,0.66808,0.4715,66,86,False,URINE
2915.861268858401,2657.0,0.502242,0.63634,0.4681,66,86,False,URINE
2913.93278918323,2636.0,0.45384,0.599885,0.4644,66,86,False,URINE
2912.004309508059,2634.0,0.449371,0.597078,0.4641,66,86,False,URINE
2910.075829832888,2617.0,0.412412,0.560645,0.4611,66,86,False,URINE
2908.147350157717,2605.0,0.387443,0.541033,0.4589,66,86,False,URINE
2906.218870482546,2593.0,0.363418,0.518974,0.4568,66,86,False,URINE
2904.290390807375,2585.0,0.347931,0.503446,0.4554,66,86,False,URINE
2902.361911132204,2567.0,0.314646,0.467619,0.4523,66,86,False,URINE
2900.433431457033,2568.0,0.316439,0.467619,0.4524,66,86,False,URINE
2898.504951781862,2555.0,0.293659,0.443391,0.4501,66,86,False,URINE
2896.576472106692,2547.0,0.280202,0.427294,0.4487,66,86,False,URINE
2894.647992431521,2536.0,0.262392,0.408284,0.4468,66,86,False,URINE
2892.71951275635,2533.0,0.257673,0.403406,0.4463,66,86,False,URINE
2890.791033081179,2528.0,0.24994,0.395351,0.4454,66,86,False,URINE
2888.862553406008,2529.0,0.251474,0.396136,0.4456,66,86,False,URINE
2886.934073730837,2520.0,0.237908,0.381052,0.444,66,86,False,URINE
2885.005594055666,2510.0,0.22345,0.360922,0.4422,66,86,False,URINE
2883.077114380495,2500.0,0.209632,0.34517,0.4405,66,86,False,URINE
2881.148634705325,2492.0,0.199032,0.332009,0.439,66,86,False,URINE
2879.220155030153,2484.0,0.188828,0.32274,0.4376,66,86,False,URINE
2877.291675354983,2475.0,0.177816,0.313745,0.436,66,86,False,URINE
2875.363195679812,2481.0,0.185103,0.320637,0.4371,66,86,False,URINE
2873.434716004641,2481.0,0.185103,0.320637,0.4371,66,86,False,URINE
2871.50623632947,2483.0,0.18758,0.322048,0.4375,66,86,False,URINE
2869.577756654299,2477.0,0.180221,0.3158,0.4364,66,86,False,URINE
2867.649276979128,2478.0,0.181432,0.316471,0.4366,66,86,False,URINE
2865.720797303957,2478.0,0.181432,0.316471,0.4366,66,86,False,URINE
2863.792317628786,2487.0,0.192608,0.324125,0.4382,66,86,False,URINE
2861.863837953616,2490.0,0.196444,0.328409,0.4387,66,86,False,URINE
2859.935358278445,2485.0,0.190082,0.323419,0.4378,66,86,False,URINE
2858.006878603273,2485.0,0.190082,0.323419,0.4378,66,86,False,URINE
2856.078398928103,2501.0,0.210985,0.345908,0.4406,66,86,False,URINE
2854.149919252932,2519.0,0.236433,0.379485,0.4438,66,86,False,URINE
2852.221439577761,2529.0,0.251474,0.396136,0.4456,66,86,False,URINE
