wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
3050.854846120364,3696.0,1.0,1.0,0.5,77,96,False,SALIVA
3048.926366445193,3700.0,0.99147,0.996689,0.5005,77,96,False,SALIVA
3046.997886770022,3581.0,0.726537,0.759335,0.4844,77,96,False,SALIVA
3045.069407094851,3401.0,0.368365,0.420674,0.4601,77,96,False,SALIVA
3043.14092741968,3149.0,0.095065,0.126753,0.426,77,96,False,SALIVA
3041.212447744509,3166.0,0.105805,0.13818,0.4283,77,96,False,SALIVA
3039.283968069338,3166.0,0.105805,0.13818,0.4283,77,96,False,SALIVA
3037.355488394167,3147.0,0.093861,0.125367,0.4257,77,96,False,SALIVA
3035.427008718997,3053.0,0.049705,0.070716,0.413,77,96,False,SALIVA
3033.498529043825,2917.0,0.017412,0.026874,0.3946,77,96,True,SALIVA
3031.570049368655,2769.0,0.004655,0.008233,0.3746,77,96,True,SALIVA
3029.641569693484,2688.0,0.002088,0.004277,0.3636,77,96,True,SALIVA
3027.713090018313,2607.0,0.000885,0.00208,0.3527,77,96,True,SALIVA
3025.784610343142,2530.0,0.000371,0.000987,0.3423,77,96,True,SALIVA
3023.856130667971,2491.0,0.000234,0.000643,0.337,77,96,True,SALIVA
3021.9276509928,2431.0,0.000112,0.00035,0.3289,77,96,True,SALIVA
3019.999171317629,2357.0,4.3e-05,0.000162,0.3189,77,96,True,SALIVA
3018.070691642458,2272.0,1.4e-05,6.2e-05,0.3074,77,96,True,SALIVA
3016.142211967287,2220.0,7e-06,3.4e-05,0.3003,77,96,True,SALIVA
3014.213732292117,2183.0,4e-06,2.2e-05,0.2953,77,96,True,SALIVA
3012.285252616945,2151.0,2e-06,1.6e-05,0.291,77,96,True,SALIVA
3010.356772941775,2142.0,2e-06,1.5e-05,0.2898,77,96,True,SALIVA
3008.428293266604,2065.0,1e-06,5e-06,0.2794,77,96,True,SALIVA
3006.499813591433,1974.0,0.0,2e-06,0.267,77,96,True,SALIVA
3004.571333916262,1903.0,0.0,1e-06,0.2574,77,96,True,SALIVA
3002.642854241091,1842.0,0.0,1e-06,0.2492,77,96,True,SALIVA
3000.71437456592,1756.0,0.0,0.0,0.2376,77,96,True,SALIVA
2998.785894890749,1702.0,0.0,0.0,0.2302,77,96,True,SALIVA
2996.857415215578,1687.0,0.0,0.0,0.2282,77,96,True,SALIVA
2994.928935540408,1622.0,0.0,0.0,0.2194,77,96,True,SALIVA
2993.000455865237,1566.0,0.0,0.0,0.2119,77,96,True,SALIVA
2991.071976190066,1527.0,0.0,0.0,0.2066,77,96,True,SALIVA
2989.143496514895,1507.0,0.0,0.0,0.2039,77,96,True,SALIVA
2987.215016839724,1524.0,0.0,0.0,0.2062,77,96,True,SALIVA
2985.286537164553,1547.0,0.0,0.0,0.2093,77,96,True,SALIVA
2983.358057489382,1548.0,0.0,0.0,0.2094,77,96,True,SALIVA
2981.429577814211,1559.0,0.0,0.0,0.2109,77,96,True,SALIVA
2979.501098139041,1585.0,0.0,0.0,0.2144,77,96,True,SALIVA
2977.572618463869,1586.0,0.0,0.0,0.2146,77,96,True,SALIVA
2975.644138788698,1647.0,0.0,0.0,0.2228,77,96,True,SALIVA
2973.715659113528,1711.0,0.0,0.0,0.2315,77,96,True,SALIVA
2971.787179438357,1767.0,0.0,0.0,0.239,77,96,True,SALIVA
2969.858699763186,1833.0,0.0,1e-06,0.248,77,96,True,SALIVA
2967.930220088015,1877.0,0.0,1e-06,0.2539,77,96,True,SALIVA
2966.001740412844,1881.0,0.0,1e-06,0.2545,77,96,True,SALIVA
2964.073260737673,1873.0,0.0,1e-06,0.2534,77,96,True,SALIVA
2962.144781062502,1886.0,0.0,1e-06,0.2551,77,96,True,SALIVA
2960.216301387331,1864.0,0.0,1e-06,0.2522,77,96,True,SALIVA
2958.287821712161,1835.0,0.0,1e-06,0.2482,77,96,True,SALIVA
2956.359342036989,1838.0,0.0,1e-06,0.2486,77,96,True,SALIVA
2954.430862361819,1857.0,0.0,1e-06,0.2512,77,96,True,SALIVA
2952.502382686648,1865.0,0.0,1e-06,0.2523,77,96,True,SALIVA
2950.573903011477,1859.0,0.0,1e-06,0.2515,77,96,True,SALIVA
2948.645423336306,1842.0,0.0,1e-06,0.2492,77,96,True,SALIVA
2946.716943661135,1845.0,0.0,1e-06,0.2496,77,96,True,SALIVA
2944.788463985964,1873.0,0.0,1e-06,0.2534,77,96,True,SALIVA
2942.859984310793,1884.0,0.0,1e-06,0.2549,77,96,True,SALIVA
2940.931504635622,1897.0,0.0,1e-06,0.2566,77,96,True,SALIVA
2939.003024960452,1881.0,0.0,1e-06,0.2545,77,96,True,SALIVA
2937.074545285281,1869.0,0.0,1e-06,0.2528,77,96,True,SALIVA
2935.146065610109,1864.0,0.0,1e-06,0.2522,77,96,True,SALIVA
2933.217585934939,1868.0,0.0,1e-06,0.2527,77,96,True,SALIVA
2931.289106259768,1880.0,0.0,1e-06,0.2543,77,96,True,SALIVA
2929.360626584597,1881.0,0.0,1e-06,0.2545,77,96,True,SALIVA
2927.432146909426,1881.0,0.0,1e-06,0.2545,77,96,True,SALIVA
2925.503667234255,1875.0,0.0,1e-06,0.2537,77,96,True,SALIVA
2923.575187559084,1865.0,0.0,1e-06,0.2523,77,96,True,SALIVA
2921.646707883913,1866.0,0.0,1e-06,0.2524,77,96,True,SALIVA
2919.718228208742,1886.0,0.0,1e-06,0.2551,77,96,True,SALIVA
2917.789748533572,1888.0,0.0,1e-06,0.2554,77,96,True,SALIVA
2915.861268858401,1905.0,0.0,1e-06,0.2577,77,96,True,SALIVA
2913.93278918323,1921.0,0.0,1e-06,0.2599,77,96,True,SALIVA
2912.004309508059,1946.0,0.0,1e-06,0.2633,77,96,True,SALIVA
2910.075829832888,1988.0,0.0,2e-06,0.2689,77,96,True,SALIVA
2908.147350157717,2010.0,0.0,3e-06,0.2719,77,96,True,SALIVA
2906.218870482546,2017.0,0.0,3e-06,0.2729,77,96,True,SALIVA
2904.290390807375,2043.0,0.0,4e-06,0.2764,77,96,True,SALIVA
2902.361911132204,2100.0,1e-06,8e-06,0.2841,77,96,True,SALIVA
2900.433431457033,2147.0,2e-06,1.5e-05,0.2904,77,96,True,SALIVA
2898.504951781862,2182.0,4e-06,2.2e-05,0.2952,77,96,True,SALIVA
2896.576472106692,2239.0,9e-06,4.2e-05,0.3029,77,96,True,SALIVA
2894.647992431521,2259.0,1.1e-05,5.3e-05,0.3056,77,96,True,SALIVA
2892.71951275635,2256.0,1.1e-05,5.1e-05,0.3052,77,96,True,SALIVA
2890.791033081179,2285.0,1.6e-05,7.2e-05,0.3091,77,96,True,SALIVA
