wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
1768.415862131715,3693.0,0.182991,0.255119,0.5607,74,89,False,PLASMA
1766.487382456544,3695.0,0.180809,0.253,0.561,74,89,False,PLASMA
1764.558902781373,3727.0,0.148477,0.211636,0.5659,74,89,False,PLASMA
1762.630423106202,3703.0,0.172274,0.242836,0.5623,74,89,False,PLASMA
1760.701943431032,3666.0,0.214382,0.294582,0.5566,74,89,False,PLASMA
1758.773463755861,3593.0,0.318141,0.423449,0.5456,74,89,False,PLASMA
1756.84498408069,3436.0,0.634803,0.723865,0.5217,74,89,False,PLASMA
1754.916504405519,3346.0,0.861086,0.903667,0.508,74,89,False,PLASMA
1752.988024730348,3255.0,0.900528,0.923495,0.4942,74,89,False,PLASMA
1751.059545055177,3220.0,0.809047,0.864493,0.4889,74,89,False,PLASMA
1749.131065380006,3205.0,0.770552,0.835038,0.4866,74,89,False,PLASMA
1747.202585704835,3204.0,0.768005,0.834645,0.4865,74,89,False,PLASMA
1745.274106029664,3200.0,0.75784,0.825948,0.4859,74,89,False,PLASMA
1743.345626354494,3246.0,0.876827,0.911423,0.4929,74,89,False,PLASMA
1741.417146679323,3291.0,0.996011,0.996011,0.4997,74,89,False,PLASMA
1739.488667004152,3307.0,0.964109,0.97046,0.5021,74,89,False,PLASMA
1737.560187328981,3375.0,0.785888,0.848049,0.5125,74,89,False,PLASMA
1735.63170765381,3395.0,0.735124,0.806947,0.5155,74,89,False,PLASMA
1733.703227978639,3398.0,0.727602,0.800992,0.5159,74,89,False,PLASMA
1731.774748303468,3407.0,0.705197,0.77857,0.5173,74,89,False,PLASMA
1729.846268628297,3373.0,0.791019,0.852382,0.5121,74,89,False,PLASMA
1727.917788953126,3274.0,0.950831,0.960892,0.4971,74,89,False,PLASMA
1725.989309277955,3196.0,0.747717,0.818418,0.4853,74,89,False,PLASMA
1724.060829602785,3094.0,0.508205,0.601035,0.4698,74,89,False,PLASMA
1722.132349927614,2929.0,0.225662,0.309526,0.4447,74,89,False,PLASMA
1720.203870252443,2815.0,0.111477,0.165055,0.4274,74,89,False,PLASMA
1718.275390577272,2290.0,0.000833,0.00168,0.3477,74,89,True,PLASMA
1716.346910902101,2422.0,0.003713,0.006629,0.3677,74,89,True,PLASMA
1714.41843122693,3073.0,0.464394,0.568584,0.4666,74,89,False,PLASMA
1712.489951551759,3123.0,0.572092,0.666278,0.4742,74,89,False,PLASMA
1710.561471876588,3425.0,0.66116,0.745024,0.52,74,89,False,PLASMA
1708.632992201417,3466.0,0.56531,0.660393,0.5263,74,89,False,PLASMA
1706.704512526246,3604.0,0.300692,0.404452,0.5472,74,89,False,PLASMA
1704.776032851076,4061.0,0.010521,0.017628,0.6166,74,89,True,PLASMA
1702.847553175905,3869.0,0.05508,0.085881,0.5875,74,89,False,PLASMA
1700.919073500734,4044.0,0.012365,0.020492,0.614,74,89,True,PLASMA
1698.990593825563,4212.0,0.002202,0.004025,0.6395,74,89,True,PLASMA
1697.062114150392,4000.0,0.018528,0.030054,0.6073,74,89,True,PLASMA
1695.133634475221,4098.0,0.007328,0.012639,0.6222,74,89,True,PLASMA
1693.20515480005,4084.0,0.008417,0.014354,0.6201,74,89,True,PLASMA
1691.276675124879,3880.0,0.050594,0.079209,0.5891,74,89,False,PLASMA
1689.348195449708,4199.0,0.002543,0.004615,0.6376,74,89,True,PLASMA
1687.419715774538,4291.0,0.000885,0.001756,0.6515,74,89,True,PLASMA
1685.491236099367,4310.0,0.000704,0.001441,0.6544,74,89,True,PLASMA
1683.562756424196,4501.0,5.7e-05,0.000132,0.6834,74,89,True,PLASMA
1681.634276749025,4513.0,4.8e-05,0.000113,0.6852,74,89,True,PLASMA
1679.705797073854,4622.0,1e-05,2.5e-05,0.7018,74,89,True,PLASMA
1677.777317398683,4664.0,5e-06,1.4e-05,0.7082,74,89,True,PLASMA
1675.848837723512,4637.0,8e-06,2e-05,0.7041,74,89,True,PLASMA
1673.920358048341,4725.0,2e-06,6e-06,0.7174,74,89,True,PLASMA
1671.99187837317,4680.0,4e-06,1.1e-05,0.7106,74,89,True,PLASMA
1670.063398697999,4544.0,3.1e-05,7.4e-05,0.6899,74,89,True,PLASMA
1668.134919022829,4461.0,0.0001,0.000225,0.6773,74,89,True,PLASMA
1666.206439347658,4325.0,0.000586,0.001209,0.6567,74,89,True,PLASMA
1664.277959672487,4236.0,0.001681,0.003109,0.6432,74,89,True,PLASMA
1662.349479997316,4287.0,0.000928,0.001827,0.6509,74,89,True,PLASMA
1660.421000322145,4303.0,0.000766,0.001548,0.6534,74,89,True,PLASMA
1658.492520646974,4294.0,0.000853,0.001707,0.652,74,89,True,PLASMA
1656.564040971803,4310.0,0.000704,0.001441,0.6544,74,89,True,PLASMA
1654.635561296632,4371.0,0.000329,0.000704,0.6637,74,89,True,PLASMA
1652.707081621461,4400.0,0.000226,0.000488,0.6681,74,89,True,PLASMA
1650.77860194629,4402.0,0.00022,0.000478,0.6684,74,89,True,PLASMA
1648.85012227112,4527.0,3.9e-05,9.4e-05,0.6874,74,89,True,PLASMA
1646.921642595948,4271.0,0.001121,0.002163,0.6485,74,89,True,PLASMA
1644.993162920778,3797.0,0.093298,0.141148,0.5765,74,89,False,PLASMA
1643.064683245607,3568.0,0.360215,0.466448,0.5418,74,89,False,PLASMA
1641.136203570436,3334.0,0.892617,0.919083,0.5062,74,89,False,PLASMA
1639.207723895265,3214.0,0.793588,0.852745,0.488,74,89,False,PLASMA
1637.279244220094,3257.0,0.905808,0.927664,0.4945,74,89,False,PLASMA
1635.350764544923,3235.0,0.848011,0.898585,0.4912,74,89,False,PLASMA
1633.422284869752,3259.0,0.911092,0.931826,0.4948,74,89,False,PLASMA
1631.493805194581,3366.0,0.809047,0.864493,0.5111,74,89,False,PLASMA
1629.56532551941,3422.0,0.668423,0.752099,0.5196,74,89,False,PLASMA
1627.63684584424,3408.0,0.702722,0.776961,0.5175,74,89,False,PLASMA
1625.708366169069,3442.0,0.620617,0.708746,0.5226,74,89,False,PLASMA
1623.779886493898,3448.0,0.60657,0.696872,0.5235,74,89,False,PLASMA
1621.851406818727,3412.0,0.692857,0.771637,0.5181,74,89,False,PLASMA
1619.922927143556,3448.0,0.60657,0.696872,0.5235,74,89,False,PLASMA
1617.994447468385,3493.0,0.506071,0.599439,0.5304,74,89,False,PLASMA
1616.065967793214,3485.0,0.523277,0.61695,0.5292,74,89,False,PLASMA
1614.137488118043,3521.0,0.448273,0.559609,0.5346,74,89,False,PLASMA
1612.209008442873,3556.0,0.381597,0.488342,0.5399,74,89,False,PLASMA
1610.280528767702,3560.0,0.374384,0.481532,0.5405,74,89,False,PLASMA
1608.35204909253,3569.0,0.358468,0.465764,0.5419,74,89,False,PLASMA
1606.42356941736,3563.0,0.369031,0.475446,0.541,74,89,False,PLASMA
1604.495089742189,3546.0,0.399997,0.511033,0.5384,74,89,False,PLASMA
1602.566610067018,3510.0,0.470521,0.574246,0.5329,74,89,False,PLASMA
1600.638130391847,3470.0,0.556328,0.651893,0.5269,74,89,False,PLASMA
1598.709650716676,3408.0,0.702722,0.776961,0.5175,74,89,False,PLASMA
1596.781171041505,3326.0,0.913735,0.933281,0.505,74,89,False,PLASMA
1594.852691366334,3250.0,0.887349,0.917367,0.4935,74,89,False,PLASMA
1592.924211691163,3151.0,0.637181,0.725494,0.4784,74,89,False,PLASMA
1590.995732015992,3010.0,0.346387,0.452375,0.457,74,89,False,PLASMA
1589.067252340822,2893.0,0.182991,0.255119,0.4393,74,89,False,PLASMA
1587.138772665651,2768.0,0.080421,0.123625,0.4203,74,89,False,PLASMA
1585.21029299048,2646.0,0.03117,0.050134,0.4018,74,89,False,PLASMA
1583.281813315309,2507.0,0.008839,0.015041,0.3807,74,89,True,PLASMA
1581.353333640138,2419.0,0.003597,0.00645,0.3673,74,89,True,PLASMA
1579.424853964967,2328.0,0.001305,0.002493,0.3535,74,89,True,PLASMA
1577.496374289796,2219.0,0.000346,0.000738,0.3369,74,89,True,PLASMA
1575.567894614625,2141.0,0.000124,0.000276,0.3251,74,89,True,PLASMA
1573.639414939454,2061.0,4e-05,9.6e-05,0.3129,74,89,True,PLASMA
1571.710935264284,1978.0,1.2e-05,3.1e-05,0.3003,74,89,True,PLASMA
1569.782455589112,1977.0,1.2e-05,3e-05,0.3002,74,89,True,PLASMA
1567.853975913942,1916.0,4e-06,1.3e-05,0.2909,74,89,True,PLASMA
1565.925496238771,1839.0,1e-06,5e-06,0.2792,74,89,True,PLASMA
1563.9970165636,1936.0,6e-06,1.7e-05,0.294,74,89,True,PLASMA
1562.068536888429,1923.0,5e-06,1.4e-05,0.292,74,89,True,PLASMA
1560.140057213258,1905.0,4e-06,1.1e-05,0.2892,74,89,True,PLASMA
1558.211577538087,2075.0,4.9e-05,0.000116,0.3151,74,89,True,PLASMA
1556.283097862916,2111.0,8.2e-05,0.000187,0.3205,74,89,True,PLASMA
1554.354618187745,2235.0,0.000424,0.000892,0.3394,74,89,True,PLASMA
1552.426138512574,2523.0,0.010321,0.017369,0.3831,74,89,True,PLASMA
1550.497658837404,2532.0,0.011249,0.018723,0.3845,74,89,True,PLASMA
1548.569179162233,2578.0,0.01724,0.028204,0.3914,74,89,True,PLASMA
1546.640699487062,2660.0,0.035011,0.055842,0.4039,74,89,False,PLASMA
1544.712219811891,2517.0,0.009741,0.016466,0.3822,74,89,True,PLASMA
1542.78374013672,2424.0,0.003793,0.00674,0.3681,74,89,True,PLASMA
1540.855260461549,2351.0,0.0017,0.00313,0.357,74,89,True,PLASMA
1538.926780786378,2165.0,0.000171,0.000377,0.3287,74,89,True,PLASMA
1536.998301111207,2033.0,2.7e-05,6.6e-05,0.3087,74,89,True,PLASMA
1535.069821436036,1974.0,1.1e-05,2.9e-05,0.2997,74,89,True,PLASMA
1533.141341760865,1780.0,0.0,2e-06,0.2703,74,89,True,PLASMA
1531.212862085695,1759.0,0.0,1e-06,0.2671,74,89,True,PLASMA
1529.284382410524,1838.0,1e-06,4e-06,0.2791,74,89,True,PLASMA
1527.355902735353,1773.0,0.0,2e-06,0.2692,74,89,True,PLASMA
1525.427423060182,1775.0,0.0,2e-06,0.2695,74,89,True,PLASMA
1523.498943385011,1829.0,1e-06,4e-06,0.2777,74,89,True,PLASMA
1521.57046370984,1796.0,1e-06,2e-06,0.2727,74,89,True,PLASMA
1519.641984034669,1762.0,0.0,1e-06,0.2675,74,89,True,PLASMA
1517.713504359498,1725.0,0.0,1e-06,0.2619,74,89,True,PLASMA
1515.785024684327,1664.0,0.0,0.0,0.2527,74,89,True,PLASMA
1513.856545009157,1617.0,0.0,0.0,0.2455,74,89,True,PLASMA
1511.928065333986,1534.0,0.0,0.0,0.2329,74,89,True,PLASMA
1509.999585658815,1484.0,0.0,0.0,0.2253,74,89,True,PLASMA
1508.071105983644,1483.0,0.0,0.0,0.2252,74,89,True,PLASMA
1506.142626308473,1428.0,0.0,0.0,0.2168,74,89,True,PLASMA
1504.214146633302,1383.0,0.0,0.0,0.21,74,89,True,PLASMA
1502.285666958131,1415.0,0.0,0.0,0.2148,74,89,True,PLASMA
1500.35718728296,1320.0,0.0,0.0,0.2004,74,89,True,PLASMA
1498.428707607789,1355.0,0.0,0.0,0.2057,74,89,True,PLASMA
1496.500227932618,1378.0,0.0,0.0,0.2092,74,89,True,PLASMA
1494.571748257448,1345.0,0.0,0.0,0.2042,74,89,True,PLASMA
1492.643268582277,1397.0,0.0,0.0,0.2121,74,89,True,PLASMA
1490.714788907106,1414.0,0.0,0.0,0.2147,74,89,True,PLASMA
1488.786309231935,1474.0,0.0,0.0,0.2238,74,89,True,PLASMA
1486.857829556764,1543.0,0.0,0.0,0.2343,74,89,True,PLASMA
1484.929349881593,1596.0,0.0,0.0,0.2423,74,89,True,PLASMA
1483.000870206422,1667.0,0.0,0.0,0.2531,74,89,True,PLASMA
1481.072390531251,1755.0,0.0,1e-06,0.2665,74,89,True,PLASMA
1479.14391085608,1808.0,1e-06,3e-06,0.2745,74,89,True,PLASMA
