target,target_group,sample_type,model,n_components,r2,rmse,n_train,n_test
h2o_L,body_composition,CAPILAR,PLS-R,1,-0.2015,5.2353,160,37
h2o_L,body_composition,PLASMA,PLS-R,2,-0.1263,4.8573,174,37
h2o_L,body_composition,SALIVA,PLS-R,1,-0.1191,5.3605,187,39
h2o_L,body_composition,SERUM,PLS-R,1,0.1332,3.9782,160,42
h2o_L,body_composition,URINE,PLS-R,1,-0.286,6.027,156,43
h20_perc,body_composition,CAPILAR,PLS-R,3,0.0856,8.4407,160,37
h20_perc,body_composition,PLASMA,PLS-R,1,0.167,6.6107,174,37
h20_perc,body_composition,SALIVA,PLS-R,2,-0.1666,7.3692,187,39
h20_perc,body_composition,SERUM,PLS-R,1,0.1171,7.7778,160,42
h20_perc,body_composition,URINE,PLS-R,3,-0.0616,8.4469,156,43
erythrocytes,cbc,CAPILAR,PLS-R,1,0.0002,0.8477,151,41
erythrocytes,cbc,PLASMA,PLS-R,2,-0.1272,0.9101,167,39
erythrocytes,cbc,SALIVA,PLS-R,2,-0.0031,0.8662,169,40
erythrocytes,cbc,SERUM,PLS-R,8,-0.0058,0.9491,163,34
erythrocytes,cbc,URINE,PLS-R,1,-0.0409,0.9674,155,34
hemoglobine,cbc,CAPILAR,PLS-R,1,-0.0186,1.5671,151,41
hemoglobine,cbc,PLASMA,PLS-R,2,-0.0459,0.8817,167,39
hemoglobine,cbc,SALIVA,PLS-R,1,-0.004,0.9215,169,40
hemoglobine,cbc,SERUM,PLS-R,1,-0.1347,0.9123,163,34
hemoglobine,cbc,URINE,PLS-R,5,-0.4211,1.0027,155,34
hematocrit,cbc,CAPILAR,PLS-R,1,0.0422,2.8497,136,37
hematocrit,cbc,PLASMA,PLS-R,1,0.181,2.0137,148,38
hematocrit,cbc,SALIVA,PLS-R,1,0.0462,2.9618,149,37
hematocrit,cbc,SERUM,PLS-R,2,0.1174,1.7716,141,37
hematocrit,cbc,URINE,PLS-R,1,-0.0341,2.7379,144,31
mgv,cbc,CAPILAR,PLS-R,1,-0.0373,6.2127,151,41
mgv,cbc,PLASMA,PLS-R,1,-0.0719,4.1759,167,39
mgv,cbc,SALIVA,PLS-R,1,0.0108,2.7171,169,40
mgv,cbc,SERUM,PLS-R,1,0.0421,5.9575,163,34
mgv,cbc,URINE,PLS-R,1,-0.0731,6.7711,155,34
mch,cbc,CAPILAR,PLS-R,1,-0.0396,2.2692,151,41
mch,cbc,PLASMA,PLS-R,1,-0.1151,1.6499,167,39
mch,cbc,SALIVA,PLS-R,1,0.103,1.1569,169,40
mch,cbc,SERUM,PLS-R,8,0.0099,2.2373,163,34
mch,cbc,URINE,PLS-R,1,-0.1012,2.464,155,34
mchc,cbc,CAPILAR,PLS-R,1,-0.0219,0.793,151,41
mchc,cbc,PLASMA,PLS-R,5,-0.0239,3.2841,167,39
mchc,cbc,SALIVA,PLS-R,1,-0.1145,0.8235,169,40
mchc,cbc,SERUM,PLS-R,1,-0.2625,0.8695,163,34
mchc,cbc,URINE,PLS-R,1,-0.0348,0.9451,155,34
rdw,cbc,CAPILAR,PLS-R,6,0.1575,1.3608,151,41
rdw,cbc,PLASMA,PLS-R,2,-0.1292,0.759,167,39
rdw,cbc,SALIVA,PLS-R,1,-0.2234,0.5992,169,40
rdw,cbc,SERUM,PLS-R,8,0.0843,1.4291,163,34
rdw,cbc,URINE,PLS-R,1,-0.0349,1.5413,155,34
leukocytes,cbc,CAPILAR,PLS-R,1,-0.1242,1.4817,151,41
leukocytes,cbc,PLASMA,PLS-R,2,-0.1398,1.5737,167,39
leukocytes,cbc,SALIVA,PLS-R,1,-0.0381,1.937,169,40
leukocytes,cbc,SERUM,PLS-R,6,-0.0723,1.7833,163,34
leukocytes,cbc,URINE,PLS-R,1,-0.2096,1.437,155,34
neutrophiles,cbc,CAPILAR,PLS-R,2,-0.5718,1.2036,151,41
neutrophiles,cbc,PLASMA,PLS-R,2,-0.22,1.3036,167,39
neutrophiles,cbc,SALIVA,PLS-R,1,-0.0193,2.8953,169,40
neutrophiles,cbc,SERUM,PLS-R,1,0.0142,1.3484,163,34
neutrophiles,cbc,URINE,PLS-R,1,0.0127,2.9979,155,34
eosinophils,cbc,CAPILAR,PLS-R,1,-0.0266,0.1409,151,41
eosinophils,cbc,PLASMA,PLS-R,1,-0.1353,0.1518,167,39
eosinophils,cbc,SALIVA,PLS-R,1,-0.0958,0.1756,169,40
eosinophils,cbc,SERUM,PLS-R,4,0.0148,0.2137,163,34
eosinophils,cbc,URINE,PLS-R,6,-0.3091,0.2004,155,34
basophils,cbc,CAPILAR,PLS-R,2,0.0434,0.0167,151,39
basophils,cbc,PLASMA,PLS-R,1,-0.0157,0.0174,167,37
basophils,cbc,SALIVA,PLS-R,1,-0.0953,0.0189,173,34
basophils,cbc,SERUM,PLS-R,1,-0.1222,0.0179,160,36
basophils,cbc,URINE,PLS-R,3,-0.1918,0.0241,148,39
lymphocytes,cbc,CAPILAR,PLS-R,1,-0.0328,0.6367,151,41
lymphocytes,cbc,PLASMA,PLS-R,1,-0.1355,0.754,167,39
lymphocytes,cbc,SALIVA,PLS-R,6,-0.5467,0.7538,169,40
lymphocytes,cbc,SERUM,PLS-R,1,-0.0905,0.6367,163,34
lymphocytes,cbc,URINE,PLS-R,2,-0.0635,0.5568,155,34
monocytes,cbc,CAPILAR,PLS-R,1,-0.0855,0.1863,151,41
monocytes,cbc,PLASMA,PLS-R,1,-0.3105,0.1741,167,39
monocytes,cbc,SALIVA,PLS-R,4,-0.1032,0.1776,169,40
