target,sample_type,timepoints,model,search,scale,apply_pls,n_components,is_baseline,target_group,r2,r2_ci95_low,r2_ci95_high,rmse,rmse_ci95_low,rmse_ci95_high,mae,mae_ci95_low,mae_ci95_high,mape,pearson_r,pearson_p,n_test
vo2max_absolute,CAPILAR,,Dummy (mean),none,True,False,,True,cardiorespiratory,-0.0097337959628736,-0.1573339411264206,-1.758501213141032e-05,841.3651846114409,553.3004324183148,1168.787269365032,629.903474025974,475.1818181818182,810.1633522727273,90.74799765292254,,,40
vo2max_absolute,CAPILAR,,Ridge,none,True,False,,True,cardiorespiratory,0.0907693284522731,-0.0462155807856493,0.1925512533473934,798.3955904779395,500.4015444641398,1130.086096232906,573.0940054561223,418.1496205861143,751.1385687213026,88.34076767579975,0.4546078331226867,0.0032087987938452,40
vo2max_absolute,CAPILAR,,PLS (3 comp),none,True,False,,True,cardiorespiratory,0.123163478702557,-0.0390380933452572,0.2918436469704945,784.0439466144702,494.0610053002047,1122.22361259316,557.2918805445972,412.68027133918224,742.6991226809157,87.47090256526917,0.426534991739727,0.0060588352491213,40
vo2max_absolute,CAPILAR,,Random Forest,grid,True,True,10.0,False,cardiorespiratory,0.0129712841176284,-0.1858734269584332,0.2159666511896812,831.8518462547884,502.50129446088425,1195.9441104338396,581.2295,418.19526250000007,779.21419375,92.53410015057882,0.188269184134867,0.2446669119315162,40
vo2max_absolute,CAPILAR,None,Random Forest,grid,True,False,,False,cardiorespiratory,0.09810106799541218,-0.06447031908156037,0.2698820326503931,795.1700741366861,494.6808711997809,1138.7529281248296,558.0250030302017,405.18222494364494,752.0779089715154,88.28682453296854,0.3695007885215293,0.018948337172635835,40
vo2max_absolute,CAPILAR,None,MLP Regressor,grid,True,True,10.0,False,cardiorespiratory,0.11955998193990325,-0.04528780155729099,0.3035176951538931,785.6533703504826,476.1646232803937,1126.7797227704414,553.9793770902256,401.6097997422905,734.4086677364178,88.87667001982584,0.4120824827702262,0.008238293259696498,40
vo2max_absolute,CAPILAR,None,MLP Regressor,grid,True,False,,False,cardiorespiratory,-0.24831578081952643,-0.7063187606301154,-0.11770840412819047,935.4989863866155,650.0675173345619,1260.353169863856,719.8073283082347,550.4489833550856,904.2612878831766,96.24223099350772,-0.3185235324711888,0.04516092143866109,40
vo2max_absolute,CAPILAR,None,Decision Tree,grid,True,True,10.0,False,cardiorespiratory,-0.1500475920319535,-0.7110281088287826,0.07450074936724276,897.9227960966355,605.871688335483,1184.5398767208874,650.1025,464.8886875,847.8569374999998,85.8034653293928,0.07569352255675915,0.6424941566238114,40
vo2max_absolute,CAPILAR,None,Decision Tree,grid,True,False,,False,cardiorespiratory,-0.1330398301822917,-0.4847752201654249,0.09374335402184342,891.2584890070663,571.1657409570524,1255.5678709094657,618.8234523809524,447.70123685515875,831.5303737599204,95.0750917903776,0.1251183666231515,0.441741588098909,40
vo2max_absolute,CAPILAR,None,XGBoost,grid,True,True,10.0,False,cardiorespiratory,-0.015222871504843472,-0.18475408645352986,0.12835289146686457,843.648983370357,532.326474342851,1200.9530460422375,610.8740270996093,451.12131347656253,802.304296661377,93.42077683278788,0.0489003101041158,0.7644479725929577,40
vo2max_absolute,CAPILAR,None,XGBoost,grid,True,False,,False,cardiorespiratory,-0.0025570516351614003,-0.17824753625620068,0.09481573360126859,838.369825601826,530.7866060814697,1180.9226953720315,596.093857421875,426.3266134643555,789.6038024902344,90.98987489786184,0.186066663309621,0.25033099419851623,40
